establecimiento_canon,direccion_norm,municipio,departamento,codigo,distrito,sector,area,supervisor,director,telefono_norm,modalidad,jornada,plan,departamental
j harvard,kilometro 201 los amates izabal,los amates,Izabal,['18-05-1982-46'],18-037,privado,urbana,mirna judith aquino rivera de elias,edita selena ortega manchamé,['57022244'],['monolingue'],['vespertina'],['diario(regular)'],izabal
jardin infantil agazzi,calle transito rojas 2-41 z 1 barrio chipilapa,jalapa,Jalapa,['21-01-0375-46'],21-004,privado,urbana,victor manuel portillo recinos,henry edilberto estrada aguilar,['39051455'],['monolingue'],['vespertina'],['diario(regular)'],jalapa
javier,calzada aguilar batres 38-51 z 12,villa nueva,Guatemala,"['01-15-2073-46', '01-15-8139-46']",01-214,privado,urbana,hector raul escun vides,roberto waldemar miranda román,['23245999'],['monolingue'],"['matutina', 'vespertina']",['diario(regular)'],guatemala sur
jesus rey de gloria sa,36 av. 4-18 bosques de san nicolas z 4,mixco,Guatemala,['01-08-8556-46'],01-619,privado,urbana,juan waldemar cabrera mendez,sheyla karina bolaños figueroa,['23152506'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
john dewey,1a. av a 4-17 quintas el paraiso,san lucas sacatepequez,Sacatepequez,"[""['03-08-0029-46', '03-08-0030-46', '03-08-0032-46']""]","['03-005', '03-005', '03-005']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['rosalbina sisimit peren de socop', 'rosalbina sisimit peren de socop', 'rosalbina sisimit peren de socop']","['josué natanael chó vásquez', 'josué natanael chó vásquez', 'josué natanael chó vásquez']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['matutina', 'vespertina', 'doble']""]","[""['diario(regular)', 'diario(regular)', 'fin de semana']""]",sacatepéquez
john dewey,1a. av. a 4-17 quintas el paraiso,san lucas sacatepequez,Sacatepequez,['03-08-0053-46'],03-005,privado,urbana,rosalbina sisimit peren de socop,josué natanael chó vásquez,['77258854'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],sacatepéquez
john harvard,4a. calle 16-33 z 1,quetzaltenango,Quetzaltenango,['09-01-0518-46'],09-005,privado,urbana,juan carlos ronquillo de leon,danci sucely chávez guzmán,['42111030'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],quetzaltenango
john harvard,4ta. calle 16-33 z 1,quetzaltenango,Quetzaltenango,"[""['09-01-0285-46', '09-01-0288-46', '09-01-0297-46']""]","['09-005', '09-005', '09-001']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['juan carlos ronquillo de leon', 'juan carlos ronquillo de leon', 'iris ondina hernandez rojas de soto']","['danci sucely chávez guzmán', 'danci sucely chávez guzmán', 'danci sucely chávez guzmán']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['vespertina', 'doble', 'doble']""]","[""['diario(regular)', 'fin de semana', 'fin de semana']""]",quetzaltenango
jose batres montufar,3a. av 6-92 z 2 lotificacion el rio,retalhuleu,Retalhuleu,['11-01-0513-46'],11-017,privado,urbana,miguel angel armas rocha,edelmira santos sánchez morán,['56220514'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],retalhuleu
jose batres montufar,3ra. av 6-92 z 2 lotificacion el rio,retalhuleu,Retalhuleu,['11-01-0293-46'],11-017,privado,urbana,miguel angel armas rocha,edelmira santos sánchez morán,['56220514'],['monolingue'],['doble'],['fin de semana'],retalhuleu
jose francisco barrundia,calle corona lote 109 manzana 29 ciudad real i,zona 12,Guatemala,['00-12-3018-46'],01-210,privado,urbana,diniz oralia morales muñoz,jose stuardo alonzo pacheco,['56422378'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
jose joaquin palma,lote 1 manzana q sector 6 villa hermosa i,san miguel petapa,Guatemala,['01-17-6566-46'],01-204,privado,urbana,alfredo noheli temaj morales,walkiria del carmen mendizabal ramirez,['36826000'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
jose simeon canas y villacorta,4a. av 2-95 z 3,chimaltenango,Chimaltenango,"[""['04-01-0053-46', '04-01-0069-46', '04-01-0070-46', '04-01-0184-46']""]","['04-027', '04-027', '04-027', '04-027']","['privado', 'privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana', 'urbana']","['ismael cristal ajcet', 'ismael cristal ajcet', 'ismael cristal ajcet', 'ismael cristal ajcet']","['irma araceli mendoza alcú', 'irma araceli mendoza alcú', 'irma araceli mendoza alcú', 'irma araceli mendoza alcú']",[],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue']""]","[""['vespertina', 'matutina', 'doble', 'doble']""]","[""['diario(regular)', 'diario(regular)', 'diario(regular)', 'fin de semana']""]",chimaltenango
juan mantovani,12 calle 2-45,zona 1,Guatemala,"[""['00-01-0774-46', '00-01-8969-46', '00-01-8971-46', '00-01-9563-46']""]","['01-403', '01-312', '01-403', '01-403']","['privado', 'privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana', 'urbana']","['carlos humberto gonzález de león', 'amado salomon flores perez', 'carlos humberto gonzález de león', 'carlos humberto gonzález de león']","['ingrid lissette martinez maldonado', 'ingrid lissette martinez maldonado', 'ingrid lissette martinez maldonado', 'ingrid lissette martinez maldonado']",[],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue']""]","[""['sin jornada', 'matutina', 'doble', 'doble']""]","[""['semipresencial (fin de semana)', 'diario(regular)', 'fin de semana', 'fin de semana']""]",guatemala norte
juan pablo ii,5a. av 4-13 z 1,chiantla,Huehuetenango,['13-02-0317-46'],13-005,privado,urbana,yuri esteban león reyes,maira virginia gómez méndez,['30678846'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],huehuetenango
juan pablo ii,5ta. avendia 4-13 z 1,chiantla,Huehuetenango,['13-02-0290-46'],13-005,privado,urbana,yuri esteban león reyes,maira virginia gómez méndez,['30678846'],['monolingue'],['doble'],['fin de semana'],huehuetenango
juan pablo ii,barrio el,agua blanca,Jutiapa,"[""['22-04-0035-46', '22-04-0047-46']"", ""['22-04-0057-46', '22-04-0058-46', '22-04-0059-46']""]","['22-011', '22-011']","['privado', 'privado']","['urbana', 'urbana']","['ruth carolina sanabria orellana', 'ruth carolina sanabria orellana']","['kinverly de maría orellana beltrán', 'carlos osmin orellana vicente']",[],"[""['monolingue', 'monolingue', 'monolingue']"", ""['monolingue', 'monolingue']""]","[""['vespertina', 'doble', 'sin jornada']"", ""['vespertina', 'sin jornada']""]","[""['diario(regular)', 'fin de semana', 'semipresencial (un día a la semana)']"", ""['diario(regular)', 'semipresencial (un día a la semana)']""]",jutiapa
juan pablo ii,eou para ninas 5a. av 4-13 z 1,chiantla,Huehuetenango,['13-02-0267-46'],13-005,privado,urbana,yuri esteban león reyes,maira virginia gómez méndez,['42077930'],['monolingue'],['vespertina'],['diario(regular)'],huehuetenango
julio verne,1a. av 2-62 z 1 aldea don justo kilometro 18.5 carretera a san jose pinula,fraijanes,Guatemala,['01-13-0032-46'],01-508,privado,rural,manuel maria cano castro,eugenia reiche caal,['66611800'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
junkabal,6a. av 31-29,zona 3,Guatemala,['00-03-0036-46'],01-302,privado,urbana,hector edelmiro flores bringuez,maria mercedes aguilar mejia,['24629300'],['monolingue'],['matutina'],['diario(regular)'],guatemala norte
jutiapa,4a. calle 1-53 z 1 jutiapa jutiapa.,jutiapa,Jutiapa,['22-01-0338-46'],22-001,privado,urbana,cecilia isabel aldecoa casasola de castro,helin betzaida flores alejandro,['78441008'],['monolingue'],['doble'],['diario(regular)'],jutiapa
jutiapa,4ta. calle 1-53 z 1,jutiapa,Jutiapa,['22-01-0262-46'],22-001,privado,urbana,cecilia isabel aldecoa casasola de castro,alvaro cisneros quiñonez,['78441008'],['monolingue'],['vespertina'],['diario(regular)'],jutiapa
jutiapa,aldea las crucitas,jutiapa,Jutiapa,['22-01-0306-46'],22-001,privado,rural,cecilia isabel aldecoa casasola de castro,ana maría sandoval morán,['41589757'],['monolingue'],['matutina'],['diario(regular)'],jutiapa
jutiapa,barrio interamericano 4-01,jutiapa,Jutiapa,"[""['22-01-0420-46', '22-01-0421-46', '22-01-0422-46']""]","['22-001', '22-001', '22-001']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['cecilia isabel aldecoa casasola de castro', 'cecilia isabel aldecoa casasola de castro', 'cecilia isabel aldecoa casasola de castro']","['hilcia asucena ortega zuñiga', 'heberto aníbal corado quiñonez', 'heberto aníbal corado quiñonez']",['78440074'],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['matutina', 'doble', 'sin jornada']""]","[""['diario(regular)', 'fin de semana', 'semipresencial (un día a la semana)']""]",jutiapa
juvenil de computacion css,13 av 13-46 colonia lavarreda,zona 18,Guatemala,['00-18-9755-46'],01-403,privado,urbana,carlos humberto gonzález de león,annabella emperatriz jiménez castellanos,['22561189'],['monolingue'],['doble'],['fin de semana'],guatemala norte
juvenil de computacion css,13 av 6-46,zona 18,Guatemala,['00-18-0226-46'],01-403,privado,urbana,carlos humberto gonzález de león,annabella emperatriz jiménez castellanos,['22561189'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],guatemala norte
juvenil de computacion css,13 ave. 13-46 lavarreda,zona 18,Guatemala,['00-18-7878-46'],01-110,privado,urbana,zuhilem yesenia estrada ortiz,annabella emperatriz jiménez castellanos,['22561189'],['monolingue'],['matutina'],['diario(regular)'],guatemala norte
juvenil de computacion css,13a. av 13-46 colonia lavarreda,zona 18,Guatemala,['00-18-0140-46'],01-110,privado,urbana,zuhilem yesenia estrada ortiz,annabella emperatriz jiménez castellanos,['22561189'],['monolingue'],['vespertina'],['diario(regular)'],guatemala norte
juvenil guatemalteco,6a. calle 3-45,zona 9,Guatemala,['00-09-8893-46'],01-505,privado,urbana,maria teresa milian aviles,isabel yolanda méndez girón,['23322023'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
juvenil guatemalteco,lote 24 manzana q sector 2 colonia la leyenda,san pedro ayampuc,Guatemala,['01-07-0046-46'],01-114,privado,urbana,rosa monroy pixtun de suret,isabel yolanda méndez girón,['55760935'],['monolingue'],['matutina'],['diario(regular)'],guatemala norte
juventud de la promesa,1a. calle 1-54 z 6 colonia los alamos,san miguel petapa,Guatemala,['01-17-0193-46'],01-204,privado,urbana,alfredo noheli temaj morales,thelma eugenia yac escobar,['41841002'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
kaboom,boulevard sur 5-97 colonia panorama z 8,mixco,Guatemala,['01-08-0886-46'],01-609,privado,urbana,silvia hortensia gonzalez martinez,mildred johanna arana quan,['55173413'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
kepler,2a. av. 15-25,zona 1,Guatemala,"[""['00-01-8812-46', '00-01-8813-46']""]","['01-627', '01-627']","['privado', 'privado']","['urbana', 'urbana']","['isaura amparo recinos carrillo', 'isaura amparo recinos carrillo']","['manuel francisco ruano iriarte', 'manuel francisco ruano iriarte']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'matutina']""]","[""['fin de semana', 'fin de semana']""]",guatemala norte
king david,kilometro 18.5 carretera a el salvador aldea el canchon la labor de monzon l. 3 z. 8.,santa catarina pinula,Guatemala,['01-02-0049-46'],01-502,privado,rural,julia enecon roca moran,dora lili morales castillo,['66611170'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
la  en su casa,21 av 33-58 colonia santa elisa,zona 12,Guatemala,['00-12-0062-46'],01-210,privado,urbana,diniz oralia morales muñoz,fausto césar barrientos cano,['24760053'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
la  en su casa,21a. av 33-58colonia santa elisa,zona 12,Guatemala,['00-12-0155-46'],01-411,privado,urbana,juan enrique martinez solano,isabel cristina balcazar vásquez,['23873100'],['monolingue'],['sin jornada'],['a distancia'],guatemala sur
la  en su casa,21a. av. 33-58 colonia santa elisa z 12,zona 12,Guatemala,"[""['00-12-0102-46', '00-12-9149-46']""]","['01-411', '01-411']","['privado', 'privado']","['urbana', 'urbana']","['juan enrique martinez solano', 'juan enrique martinez solano']","['isabel cristina balcazar vásquez', 'isabel cristina balcazar vásquez']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'doble']""]","[""['a distancia', 'fin de semana']""]",guatemala sur
la academia,13 calle 6-91,zona 10,Guatemala,['00-10-0015-46'],01-503,privado,urbana,nancy carolina navas gonzález,marilyn tatiana salguero roldan,['23323279'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
la asuncion,5a. calle final 15-575 z 5 san marcos san marcos,san marcos,San Marcos,"[""['12-01-0146-46', '12-01-4648-46']""]","['12-063', '12-063']","['privado', 'privado']","['urbana', 'urbana']","['heliuv edilzar vasquez navarro', 'heliuv edilzar vasquez navarro']","['rosalina teodora baquiax vásquez', 'rosalina teodora baquiax vásquez']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'matutina']""]","[""['diario(regular)', 'diario(regular)']""]",san marcos
la asuncion,7a av 11-55 interior finca las margaritas,zona 10,Guatemala,['00-10-0764-46'],01-503,privado,urbana,nancy carolina navas gonzález,lilian elizeth gómez aquino,['23889500'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
la educacion,7ma. av 3-20 colonia la florida guatemala,zona 19,Guatemala,['00-19-0013-46'],01-620,privado,urbana,ronald mauricio morales vivar,nataly gabriela de león urizar,['24310333'],['monolingue'],['vespertina'],['diario(regular)'],guatemala occidente
la esperanza,1a. calle 3-42 z 2,pastores,Sacatepequez,"[""['03-03-0019-46', '03-03-0022-46', '03-03-0043-46']""]","['03-003', '03-003', '03-003']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['juventino perez sican', 'juventino perez sican', 'juventino perez sican']","['hilario valle avila', 'hilario valle avila', 'hilario valle avila']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['vespertina', 'doble', 'sin jornada']""]","[""['diario(regular)', 'fin de semana', 'semipresencial (fin de semana)']""]",sacatepéquez
la excelencia,10a. av a 18-52 z 5 residenciales fuentes del valle 2,villa nueva,Guatemala,['01-15-0559-46'],01-206,privado,urbana,ingrid elizabeth peña trujillo,"catalina peralta carrillo,",['66404829'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
la inmaculada,7a. av 11-109 z 6,coban,Alta Verapaz,['16-01-0140-46'],16-031,privado,urbana,patricio najarro asencio,virginia solano serrano,['78232301'],['monolingue'],['matutina'],['diario(regular)'],alta verapaz
la libertad,3a. av 5-12 z 4,coban,Alta Verapaz,['16-01-0922-46'],16-031,privado,urbana,patricio najarro asencio,silvia yolanda caal quim,['33857209'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],alta verapaz
la libertad,3a. av cinco guion doce 5-12,coban,Alta Verapaz,['16-01-0678-46'],16-031,privado,urbana,patricio najarro asencio,silvia yolanda caal quim,['48979726'],['monolingue'],['doble'],['fin de semana'],alta verapaz
la libertad,3a. av. 5-12 z 4,coban,Alta Verapaz,['16-01-0694-46'],16-031,privado,urbana,patricio najarro asencio,silvia yolanda caal quim,['55564568'],['monolingue'],['doble'],['semipresencial'],alta verapaz
la paz montessori,40 av 1-90 z 8,quetzaltenango,Quetzaltenango,['09-01-0452-46'],09-041,privado,urbana,wilson ranferi siguenza lopez,lesley lariza barillas mazariegos,['41004136'],['monolingue'],['matutina'],['diario(regular)'],quetzaltenango
la place,km. 18.5 carretera al salvador cruce carretera vieja,santa catarina pinula,Guatemala,['01-02-7829-46'],01-502,privado,urbana,julia enecon roca moran,marco antonio castañeda flores,['66346612'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
la place,lote 23 san gabriel km. 18 carretera a el salvador,fraijanes,Guatemala,['01-13-0120-46'],01-405,privado,urbana,blanca sarai gutierrez pineda,marco antonio castañeda flores,['66346612'],['monolingue'],['sin jornada'],['a distancia'],guatemala oriente
la preparatoria,13 av 26-25 acatan,zona 17,Guatemala,['00-17-0049-46'],01-110,privado,urbana,zuhilem yesenia estrada ortiz,maritza ileana silva rodriguez de reyes,['22993800'],['monolingue'],['matutina'],['diario(regular)'],guatemala norte
la salle,4a. av norte n-26,antigua guatemala,Sacatepequez,['03-01-0057-46'],03-002,privado,urbana,zoila esthela jonfe orozco,marcos manuel hernández pérez,['78320556'],['monolingue'],['matutina'],['diario(regular)'],sacatepéquez
